Dancing,2019-11-15 16:00:00,462
Dancing,2019-11-25 13:00:00,389
Dancing,2019-10-23 18:00:00,122
Dancing,2019-11-24 18:00:00,181
Dancing,2019-11-11 17:00:00,107
Dancing,2019-10-14 18:00:00,80
Dancing,2019-11-26 12:00:00,168
Dancing,2019-10-14 18:00:00,185
Dancing,2019-11-18 15:00:00,133
Dancing,2019-10-14 18:00:00,232
Dancing,2019-11-27 12:00:00,119
Dancing,2019-10-25 13:00:00,266
Dancing,2019-10-27 17:00:00,79
Dancing,2019-11-17 16:00:00,165
Dancing,2019-10-22 13:00:00,115
Dancing,2019-11-18 13:00:00,99
Dancing,2019-11-19 10:00:00,147
Dancing,2019-10-18 14:00:00,331
Dancing,2019-11-27 17:00:00,131
Dancing,2019-10-14 18:00:00,201
Dancing,2019-11-15 14:00:00,249
Dancing,2019-10-14 13:00:00,228
Dancing,2019-10-11 15:00:00,84
Dancing,2019-11-27 13:00:00,69
Dancing,2019-10-21 17:00:00,358
Dancing,2019-11-15 10:00:00,216
Dancing,2019-10-16 16:00:00,443
Dancing,2019-10-25 17:00:00,407
Dancing,2019-10-18 14:00:00,443
Dancing,2019-10-24 14:00:00,377
Dancing,2019-10-17 11:00:00,138
Dancing,2019-10-16 14:00:00,128
Dancing,2019-10-22 17:00:00,228
Dancing,2019-11-17 14:00:00,277
Dancing,2019-10-24 11:00:00,308
Dancing,2019-10-25 17:00:00,100
Dancing,2019-11-24 10:00:00,347
Dancing,2019-10-23 16:00:00,249
Dancing,2019-11-12 15:00:00,47
Dancing,2019-10-16 15:00:00,39
Dancing,2019-10-25 11:00:00,33
Dancing,2019-11-14 16:00:00,76
Dancing,2019-11-11 17:00:00,257
Dancing,2019-10-16 15:00:00,164
Dancing,2019-10-20 16:00:00,69
Dancing,2019-10-10 15:00:00,371
Dancing,2019-11-11 12:00:00,364
Dancing,2019-10-20 17:00:00,269
Dancing,2019-10-19 16:00:00,167
Dancing,2019-11-10 12:00:00,212
Dancing,2019-11-19 10:00:00,410
Dancing,2019-10-13 16:00:00,168
Dancing,2019-10-18 18:00:00,474
Dancing,2019-10-11 16:00:00,360
Dancing,2019-11-13 11:00:00,291
Dancing,2019-11-27 15:00:00,421
Dancing,2019-11-27 18:00:00,213
Dancing,2019-11-15 12:00:00,39
Dancing,2019-11-19 16:00:00,25
Dancing,2019-10-13 14:00:00,151
Dancing,2019-11-20 16:00:00,164
Dancing,2019-11-28 17:00:00,89
Dancing,2019-11-16 18:00:00,152
Dancing,2019-10-10 18:00:00,114
Dancing,2019-10-17 12:00:00,200
Dancing,2019-11-20 14:00:00,487
Dancing,2019-11-24 13:00:00,120
Dancing,2019-11-26 12:00:00,451
Dancing,2019-10-14 12:00:00,481
Dancing,2019-10-25 12:00:00,88
Dancing,2019-11-23 12:00:00,213
Dancing,2019-10-15 14:00:00,233
Dancing,2019-11-13 16:00:00,282
Dancing,2019-11-23 10:00:00,392
Dancing,2019-10-16 11:00:00,135
Dancing,2019-10-12 15:00:00,423
Dancing,2019-11-23 11:00:00,171
Dancing,2019-10-12 14:00:00,144
Dancing,2019-10-23 14:00:00,223
Dancing,2019-11-25 18:00:00,250
Dancing,2019-11-25 10:00:00,101
Dancing,2019-11-25 12:00:00,222
Dancing,2019-11-16 13:00:00,457
Dancing,2019-11-27 17:00:00,40
Dancing,2019-11-12 13:00:00,417
Dancing,2019-10-12 10:00:00,336
Dancing,2019-10-25 15:00:00,190
Dancing,2019-10-26 10:00:00,205
Dancing,2019-11-17 11:00:00,458
Dancing,2019-10-12 13:00:00,470
Dancing,2019-11-14 11:00:00,18
Dancing,2019-10-21 13:00:00,153
Dancing,2019-11-21 13:00:00,475
Dancing,2019-11-12 13:00:00,236
Dancing,2019-10-21 18:00:00,68
Dancing,2019-10-17 16:00:00,451
Dancing,2019-11-13 10:00:00,481
Dancing,2019-10-21 10:00:00,358
Dancing,2019-11-25 18:00:00,239
